"";"igralci";"odigrane.tekme";"streli";"goli";"asistence";"tocke";"igralni.položaj";"datum.rojstva";"višina";"procent.strela"
"664";"Victor Rask";80;172;11;22;33;"C";"1993-03-01";74;6,3953488372093
"665";"Viktor Stalberg";25;27;2;8;10;"L";"1986-01-17";75;7,40740740740741
"666";"Vincent Lecavalier";57;103;8;12;20;"C";"1980-04-21";76;7,76699029126214
"667";"Vincent Trocheck";50;89;7;15;22;"C";"1993-07-11";70;7,86516853932584
"668";"Vladimir Tarasenko";77;264;37;36;73;"R";"1991-12-13";72;14,0151515151515
"669";"Vladislav Namestnikov";43;46;9;7;16;"C";"1992-11-22";71;19,5652173913043
"670";"Wayne Simmonds";75;188;28;22;50;"R";"1988-08-26";74;14,8936170212766
"671";"William Karlsson";21;29;3;2;5;"C";"1993-01-08";73;10,3448275862069
"672";"Willie Mitchell";66;78;3;5;8;"D";"1977-04-23";75;3,84615384615385
"673";"Xavier Ouellet";21;27;2;1;3;"D";"1993-07-29";73;7,40740740740741
"674";"Yannick Weber";65;117;11;10;21;"D";"1988-09-23";71;9,4017094017094
"675";"Zac Dalpe";21;29;1;2;3;"C";"1989-11-01";73;3,44827586206897
"676";"Zac Rinaldo";58;45;1;5;6;"C";"1990-06-15";70;2,22222222222222
"677";"Zach Bogosian";62;125;3;17;20;"D";"1990-07-15";75;2,4
"678";"Zach Boychuk";31;35;3;3;6;"L";"1989-10-04";70;8,57142857142857
"679";"Zach Parise";74;259;33;29;62;"L";"1984-07-28";71;12,7413127413127
"680";"Zach Redmond";59;93;5;15;20;"D";"1988-07-26";74;5,37634408602151
"681";"Zach Sill";63;43;1;3;4;"C";"1988-05-24";72;2,32558139534884
"682";"Zach Trotman";27;46;1;4;5;"D";"1990-08-26";75;2,17391304347826
"683";"Zack Kassian";42;55;10;6;16;"R";"1991-01-24";75;18,1818181818182
"684";"Zack Smith";37;38;2;1;3;"C";"1988-04-05";74;5,26315789473684
"685";"Zbynek Michalek";68;86;4;8;12;"D";"1982-12-23";74;4,65116279069767
"686";"Zdeno Chara";63;138;8;12;20;"D";"1977-03-18";81;5,79710144927536
"687";"Zemgus Girgensons";61;115;15;15;30;"C";"1994-01-05";73;13,0434782608696
